Date,Open,High,Low,Close,Volume
1/2/2020 16:00:00,294.06,294.58,291,291.49,2052922
1/3/2020 16:00:00,290.05,292.9,289.33,291.73,1926624
1/6/2020 16:00:00,290.55,292.07,288.62,291.81,2655433
1/7/2020 16:00:00,291.32,291.69,289.28,291.35,1971494
1/8/2020 16:00:00,290.99,295.48,290.5,294.69,2495438
1/9/2020 16:00:00,298.55,301.96,297.71,299.42,3262225
1/10/2020 16:00:00,300,300.27,296.66,297.24,2025220
1/13/2020 16:00:00,296.92,300.65,296.8,299.87,1779744
1/14/2020 16:00:00,299.25,301,298.58,299.75,1460562
1/15/2020 16:00:00,298.35,301.04,298.04,300.82,1604433
1/16/2020 16:00:00,301.39,304.06,300.98,303.03,1758762
1/17/2020 16:00:00,303.4,305.3,303.03,304.68,2506588
1/21/2020 16:00:00,306.2,313.34,305.76,313.26,3585918
1/22/2020 16:00:00,313.4,313.56,310.21,311.89,2219022
1/23/2020 16:00:00,312.02,313.4,310.73,312.88,1535973
1/24/2020 16:00:00,314.02,314.28,309.1,310.51,1986279
1/27/2020 16:00:00,306.15,311.77,305.65,309.45,2265350
1/28/2020 16:00:00,310.51,311.71,309.1,310.85,1571672
1/29/2020 16:00:00,310.86,311.97,309.39,309.58,1714823
1/30/2020 16:00:00,308.84,309.64,306.67,309.47,1232855
1/31/2020 16:00:00,308.55,309.18,304.56,305.52,1836994
2/3/2020 16:00:00,307,308.58,301.67,302,2817541
2/4/2020 16:00:00,304.57,305.91,302.76,304.9,1982323
2/5/2020 16:00:00,307,309.59,305.4,308.95,1731802
2/6/2020 16:00:00,309.35,311.84,307.85,310.61,1917896
2/7/2020 16:00:00,310,313.81,309.12,313.63,1903467
2/10/2020 16:00:00,313.76,316.94,312.6,313.79,2336523
2/11/2020 16:00:00,314.03,314.43,310.47,310.68,2047510
2/12/2020 16:00:00,310.77,315.48,310.77,315.12,1384611
2/13/2020 16:00:00,314.85,318.79,313.54,318.2,1438248
2/14/2020 16:00:00,318.87,319.81,316.95,318.31,1113716
2/18/2020 16:00:00,319,323.48,318.61,322.05,1547929
2/19/2020 16:00:00,322.08,324.53,321.73,323.02,1413768
2/20/2020 16:00:00,322.32,325.07,321.01,324.08,1427524
2/21/2020 16:00:00,322.56,325.26,321.03,321.95,2239230
2/24/2020 16:00:00,315.5,320,313.26,313.62,2300379
2/25/2020 16:00:00,315,316.57,304.4,304.87,2881835
2/26/2020 16:00:00,307.55,311.3,304.68,305.69,2239556
2/27/2020 16:00:00,301.98,305,293,293.13,3625276
2/28/2020 16:00:00,285.25,287.33,271.28,281.14,7096587
3/2/2020 16:00:00,294.44,309.51,291.38,309.14,7563779
3/3/2020 16:00:00,309.14,314.17,301.03,302.73,5131419
3/4/2020 16:00:00,308.29,320.97,305.02,320.74,4219326
3/5/2020 16:00:00,315.77,324.51,313.2,315.76,6407662
3/6/2020 16:00:00,312.14,317.49,302.75,311.34,6185520
3/9/2020 16:00:00,295.85,310.33,293,301.98,5203087
